STARTDATE,RegionCliente,Pais,Estado,Fruta,Presentacion,Tamaño,Sum(QTY)
1/3/2020,Norte,México,NUEVO LEON,Arándano,LB,On the go,11
1/3/2020,Norte,México,NUEVO LEON,Arándano,Prisma,Familiar,8
1/3/2020,Norte,México,NUEVO LEON,Cereza,PE,Lonchera,1
1/3/2020,Norte,México,NUEVO LEON,Coco Piña,LB,On the go,23
1/3/2020,Norte,México,NUEVO LEON,Durazno,Bot,Lonchera,7
1/3/2020,Norte,México,NUEVO LEON,Durazno,Bot,On the go,81
1/3/2020,Norte,México,NUEVO LEON,Durazno,LB,On the go,51.17
1/3/2020,Norte,México,NUEVO LEON,Durazno,Lata,On the go,13
1/3/2020,Norte,México,NUEVO LEON,Durazno,MiniBrik,Lonchera,18.5
1/3/2020,Norte,México,NUEVO LEON,Durazno,Prisma,Familiar,36
1/3/2020,Norte,México,NUEVO LEON,Energy,Lata,On the go,1
1/3/2020,Norte,México,NUEVO LEON,Fresa,MiniBrik,Lonchera,4
1/3/2020,Norte,México,NUEVO LEON,Fresa,TetraBrik,On the go,4
1/3/2020,Norte,México,NUEVO LEON,Fruit Punch,Lata,On the go,0.5
1/3/2020,Norte,México,NUEVO LEON,Guayaba,Bot,On the go,45.5
1/3/2020,Norte,México,NUEVO LEON,Mango,Bot,Lonchera,17
1/3/2020,Norte,México,NUEVO LEON,Mango,Bot,On the go,98
1/3/2020,Norte,México,NUEVO LEON,Mango,LB,On the go,107
1/3/2020,Norte,México,NUEVO LEON,Mango,Lata,On the go,23.5
1/3/2020,Norte,México,NUEVO LEON,Mango,MiniBrik,Lonchera,68
1/3/2020,Norte,México,NUEVO LEON,Mango,PE,Lonchera,1
1/3/2020,Norte,México,NUEVO LEON,Mango,Prisma,Familiar,59
1/3/2020,Norte,México,NUEVO LEON,Mango,TetraBrik,On the go,50
1/3/2020,Norte,México,NUEVO LEON,Manzana,Bot,Lonchera,9
1/3/2020,Norte,México,NUEVO LEON,Manzana,Bot,On the go,57.5
1/3/2020,Norte,México,NUEVO LEON,Manzana,LB,On the go,46.33
1/3/2020,Norte,México,NUEVO LEON,Manzana,Lata,On the go,12
1/3/2020,Norte,México,NUEVO LEON,Manzana,MiniBrik,Lonchera,60
1/3/2020,Norte,México,NUEVO LEON,Manzana,PET,On the go,2
1/3/2020,Norte,México,NUEVO LEON,Manzana,Prisma,Familiar,48.5
1/3/2020,Norte,México,NUEVO LEON,Manzana,TetraBrik,On the go,46
1/3/2020,Norte,México,NUEVO LEON,Mixed Fruit,PET,On the go,1
1/3/2020,Norte,México,NUEVO LEON,Naranja,LB,On the go,14
1/3/2020,Norte,México,NUEVO LEON,Naranja,PET,On the go,36
